city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zemmouri,36.7833,3.6000,Algeria,DZ,Boumerdes,,26408,26408
Kaous,36.7702,5.8136,Algeria,DZ,Jijel,,26137,26137
El Tarf,36.7670,8.3170,Algeria,DZ,El Tarf,admin,25594,25594
Tipasa,36.5919,2.4494,Algeria,DZ,Tipaza,admin,25225,25225
Beni Amrane,36.6667,3.5833,Algeria,DZ,Boumerdes,,23621,23621
Illizi,26.5050,8.4822,Algeria,DZ,Illizi,admin,17252,17252
Bordj Mokhtar,21.3289,0.9542,Algeria,DZ,Bordj Badji Mokhtar,admin,16437,16437
Naama,33.2622,-0.3144,Algeria,DZ,Naama,admin,16251,16251
Djanet,24.5550,9.4853,Algeria,DZ,Djanet,admin,14655,14655
Beni Abbès,30.0800,-2.1000,Algeria,DZ,Béni Abbès,admin,10885,10885
In Guezzam,19.5686,5.7722,Algeria,DZ,In Guezzam,admin,7045,7045
